TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = EXP-1888-01-09-a-i0035
# hipe2022:date = 1888-01-09
# hipe2022:language = fr
# hipe2022:document_type = newspaper
# hipe2022:dataset = hipe2020
# hipe2022:original_source = v1.4.1/fr/HIPE-data-v1.4.1-train-fr.tsv
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-COARSE-METO NE-FINE-LIT NE-FINE-METO NE-FINE-COMP NE-NESTED NEL-LIT NEL-METO MISC
# hipe2020:doi = https://zenodo.org/record/6046853
# hipe2020:version = v1.4
# hipe2020:original_license = CC-BY-NC-SA 4.0
# hipe2020:publication_title = EXP
NOUVELLES	O	O	O	O	O	O	_	_	_
SUISSES	O	O	O	O	O	O	_	_	EndOfLine
—	O	O	O	O	O	O	_	_	_
En	B-time	O	B-time.date.abs	O	O	O	NIL	_	_
1887	I-time	O	I-time.date.abs	O	O	O	NIL	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
la	O	O	O	O	O	O	_	_	_
Société	B-org	O	B-org.ent	O	O	O	Q683672	_	_
suisse	I-org	O	I-org.ent	O	O	O	Q683672	_	_
du	I-org	O	I-org.ent	O	O	O	Q683672	_	_
Grutli	I-org	O	I-org.ent	O	O	B-loc.phys.geo	Q683672	_	EndOfLine
s	O	O	O	O	O	O	_	_	NoSpaceAfter
'	O	O	O	O	O	O	_	_	NoSpaceAfter
est	O	O	O	O	O	O	_	_	_
accrue	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
40	O	O	O	O	O	O	_	_	_
sections	O	O	O	O	O	O	_	_	_
;	O	O	O	O	O	O	_	_	_
l	O	O	O	O	O	O	_	_	NoSpaceAfter
'	O	O	O	O	O	O	_	_	NoSpaceAfter
association	O	O	O	O	O	O	_	_	EndOfLine
compte	O	O	O	O	O	O	_	_	_
actuellement	O	O	O	O	O	O	_	_	_
12,000	O	O	O	O	O	O	_	_	_
membres	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfLine|EndOfSentence
Environ	O	O	O	O	O	O	_	_	_
30,000	O	O	O	O	O	O	_	_	_
fr	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
ont	O	O	O	O	O	O	_	_	_
été	O	O	O	O	O	O	_	_	_
versés	O	O	O	O	O	O	_	_	_
dans	O	O	O	O	O	O	_	_	EndOfLine
la	O	O	O	O	O	O	_	_	_
caisse	O	O	O	O	O	O	_	_	_
créée	O	O	O	O	O	O	_	_	_
pour	O	O	O	O	O	O	_	_	_
subventionner	O	O	O	O	O	O	_	_	_
les	O	O	O	O	O	O	_	_	EndOfLine
grèves	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfLine|EndOfSentence
Ecoles	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
fonctionnaires	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfSentence
—	O	O	O	O	O	O	_	_	_
On	O	O	O	O	O	O	_	_	_
parle	O	O	O	O	O	O	_	_	EndOfLine
de	O	O	O	O	O	O	_	_	_
fonder	O	O	O	O	O	O	_	_	_
deux	O	O	O	O	O	O	_	_	_
facultés	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
sciences	O	O	O	O	O	O	_	_	EndOfLine
politiques	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
l	O	O	O	O	O	O	_	_	NoSpaceAfter
'	O	O	O	O	O	O	_	_	NoSpaceAfter
une	O	O	O	O	O	O	_	_	_
à	O	O	O	O	O	O	_	_	_
Berne	B-loc	O	B-loc.adm.town	O	O	O	Q70	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
l	O	O	O	O	O	O	_	_	NoSpaceAfter
'	O	O	O	O	O	O	_	_	NoSpaceAfter
autre	O	O	O	O	O	O	_	_	_
à	O	O	O	O	O	O	_	_	_
Genève	B-loc	O	B-loc.adm.town	O	O	O	Q71	_	EndOfLine
ou	O	O	O	O	O	O	_	_	_
à	O	O	O	O	O	O	_	_	_
Lausanne	B-loc	O	B-loc.adm.town	O	O	O	Q807	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
afin	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
donner	O	O	O	O	O	O	_	_	_
ainsi	O	O	O	O	O	O	_	_	_
aux	O	O	O	O	O	O	_	_	EndOfLine
aspirants	O	O	O	O	O	O	_	_	_
au	O	O	O	O	O	O	_	_	_
service	O	O	O	O	O	O	_	_	_
fédéral	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
l	O	O	O	O	O	O	_	_	NoSpaceAfter
'	O	O	O	O	O	O	_	_	NoSpaceAfter
occasion	O	O	O	O	O	O	_	_	EndOfLine
d	O	O	O	O	O	O	_	_	NoSpaceAfter
'	O	O	O	O	O	O	_	_	NoSpaceAfter
acquérir	O	O	O	O	O	O	_	_	_
les	O	O	O	O	O	O	_	_	_
connaissances	O	O	O	O	O	O	_	_	_
qui	O	O	O	O	O	O	_	_	_
leur	O	O	O	O	O	O	_	_	_
sont	O	O	O	O	O	O	_	_	EndOfLine
nécessaires	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfLine|EndOfSentence
Chemins	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
fer	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfSentence
—	O	O	O	O	O	O	_	_	_
Le	O	O	O	O	O	O	_	_	_
conseil	O	O	O	O	O	O	_	_	_
supérieur	O	O	O	O	O	O	_	_	EndOfLine
des	O	O	O	O	O	O	_	_	_
travaux	O	O	O	O	O	O	_	_	_
publics	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
à	O	O	O	O	O	O	_	_	_
Rome	B-loc	O	B-loc.adm.town	O	O	O	Q220	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
approuvé	O	O	O	O	O	O	_	_	EndOfLine
la	O	O	O	O	O	O	_	_	_
construction	O	O	O	O	O	O	_	_	_
d	O	O	O	O	O	O	_	_	NoSpaceAfter
'	O	O	O	O	O	O	_	_	NoSpaceAfter
une	O	O	O	O	O	O	_	_	_
voie	O	O	O	O	O	O	_	_	_
ferrée	O	O	O	O	O	O	_	_	EndOfLine
Ortafrontière	B-loc	O	B-loc.phys.hydro	O	O	O	Q1226218	_	Partial-0:4
suisse	O	O	O	O	O	O	_	_	_
(	O	O	O	O	O	O	_	_	NoSpaceAfter
Brissago	B-loc	O	B-loc.adm.town	O	O	O	Q69706	_	NoSpaceAfter
)	O	O	O	O	O	O	_	_	_
par	O	O	O	O	O	O	_	_	_
la	O	O	O	O	O	O	_	_	_
rive	O	O	O	O	O	O	_	_	EndOfLine
droite	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
lac	B-loc	O	B-loc.phys.hydro	O	O	O	Q14379	_	_
Majeur	I-loc	O	I-loc.phys.hydro	O	B-comp.name	O	Q14379	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
soit	O	O	O	O	O	O	_	_	_
par	O	O	O	O	O	O	_	_	_
Pallanza	B-loc	O	B-loc.adm.town	O	O	O	Q3892388	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	EndOfLine
Intra	B-loc	O	B-loc.adm.town	O	O	O	Q3800759	_	_
et	O	O	O	O	O	O	_	_	_
Canobbio	B-loc	O	B-loc.adm.town	O	O	O	Q68434	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfLine|EndOfSentence
Agriculture	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfSentence
—	O	O	O	O	O	O	_	_	_
Le	O	O	O	O	O	O	_	_	_
département	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	EndOfLine
l	O	O	O	O	O	O	_	_	NoSpaceAfter
'	O	O	O	O	O	O	_	_	NoSpaceAfter
industrie	O	O	O	O	O	O	_	_	_
et	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
l	O	O	O	O	O	O	_	_	NoSpaceAfter
