TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = GDL-1804-01-24-9
# hipe2022:date = 1804-01-24
# hipe2022:document_type = newspaper
# hipe2022:language = fr
# hipe2022:dataset = letemps
# hipe2022:split = train
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED MISC
# letemps:publication_title = GDL
# letemps:version = v1.0
# letemps:doi = https://doi.org/10.5281/zenodo.5996744
# letemps:original_license = CC-BY-NC-SA 4.0
RÉPUBLIQUE	O	_	O	_	_	O	_	_	_
FRANÇAISE	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
De	O	_	O	_	_	O	_	_	_
Bruxelles	B-loc	_	B-loc.adm.town	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
le	O	_	O	_	_	O	_	_	_
1}	O	_	O	_	_	O	_	_	_
janvier	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
On	O	_	O	_	_	O	_	_	_
mande	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
Berg	B-loc	_	B-loc.adm.town	_	_	O	_	_	NoSpaceAfter
-	I-loc	_	I-loc.adm.town	_	_	O	_	_	NoSpaceAfter
op	I-loc	_	I-loc.adm.town	_	_	O	_	_	NoSpaceAfter
-	I-loc	_	I-loc.adm.town	_	_	O	_	_	NoSpaceAfter
Zoom	I-loc	_	I-loc.adm.town	_	_	O	_	_	_
que	O	_	O	_	_	O	_	_	_
le	O	_	O	_	_	O	_	_	_
17	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
régiment	O	_	O	_	_	O	_	_	_
des	O	_	O	_	_	O	_	_	_
troupes	O	_	O	_	_	O	_	_	_
françaises	O	_	O	_	_	O	_	_	_
qui	O	_	O	_	_	O	_	_	_
était	O	_	O	_	_	O	_	_	_
en	O	_	O	_	_	O	_	_	_
garnison	O	_	O	_	_	O	_	_	_
dans	O	_	O	_	_	O	_	_	_
cette	O	_	O	_	_	O	_	_	_
ville	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
vient	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
s	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
embarquer	O	_	O	_	_	O	_	_	_
précipitamment	O	_	O	_	_	O	_	_	_
pour	O	_	O	_	_	O	_	_	_
la	O	_	O	_	_	O	_	_	_
Zélande	B-loc	_	B-loc.adm.nat	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
On	O	_	O	_	_	O	_	_	_
y	O	_	O	_	_	O	_	_	_
attendait	O	_	O	_	_	O	_	_	_
le	O	_	O	_	_	O	_	_	_
48	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
régiment	O	_	O	_	_	O	_	_	_
d	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
infanterie	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
ligne	O	_	O	_	_	O	_	_	_
venant	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
Hanovre	B-loc	_	B-loc.adm.town	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
—	O	_	O	_	_	O	_	_	_
De	O	_	O	_	_	O	_	_	_
nombreux	O	_	O	_	_	O	_	_	_
transports	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
chevaux	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
remonte	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
arrivant	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
Hanovre	B-loc	_	B-loc.adm.town	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
ont	O	_	O	_	_	O	_	_	_
passé	O	_	O	_	_	O	_	_	_
dans	O	_	O	_	_	O	_	_	_
nos	O	_	O	_	_	O	_	_	_
murs	O	_	O	_	_	O	_	_	_
ces	O	_	O	_	_	O	_	_	_
jours	O	_	O	_	_	O	_	_	_
derniers	O	_	O	_	_	O	_	_	_
;	O	_	O	_	_	O	_	_	_
ils	O	_	O	_	_	O	_	_	_
étaient	O	_	O	_	_	O	_	_	_
escortés	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
détachemens	O	_	O	_	_	O	_	_	_
de	O	_	O	_	_	O	_	_	_
chasseurs	O	_	O	_	_	O	_	_	_
à	O	_	O	_	_	O	_	_	_
cheval	O	_	O	_	_	O	_	_	_
du	O	_	O	_	_	O	_	_	_
6	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
régiment	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
De	O	_	O	_	_	O	_	_	_
Paris	B-loc	_	B-loc.adm.town	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
fc	O	_	O	_	_	O	_	_	_
17	O	_	O	_	_	O	_	_	_
janvier	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
Fonds	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
publics	O	_	O	_	_	O	_	_	_
du	O	_	O	_	_	O	_	_	_
14	O	_	O	_	_	O	_	_	_
janvier	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
—	O	_	O	_	_	O	_	_	_
