TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = train_fr_1
# hipe2022:date = 1923-01-15
# hipe2022:language = fr
# hipe2022:dataset = newseye
# hipe2022:document_type = newspaper
# hipe2022:original_source = NewsEye-GT-NER_EL_StD-v1/NewsEye-French/train.tsv
# newseye:decade = 1923
# newseye:doi = https://doi.org/10.5281/zenodo.4573313
# newseye:version = v1.0
# newseye:publication_title =  L_OEuvre 
# newseye:original_license = CC-BY 4.0
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
18	O	_	O	_	_	O	_	_	_
Centimes	O	_	O	_	_	O	_	_	_
ÉDITION	B-ORG	_	O	_	_	O	NIL	_	_
DE	I-ORG	_	O	_	_	O	NIL	_	_
PIHIS	I-ORG	_	O	_	_	O	NIL	_	_
N	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter
2663	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
—	O	_	O	_	_	O	_	_	_
LUNDI	O	_	O	_	_	O	_	_	_
15	O	_	O	_	_	O	_	_	_
JANVIEE	O	_	O	_	_	O	_	_	_
1103	O	_	O	_	_	O	_	_	NoSpaceAfter
9	B-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
,	I-LOC	_	O	_	_	O	NIL	_	_
rue	I-LOC	_	O	_	_	O	NIL	_	_
Louis	I-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
-	I-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
le	I-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
-	I-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
Grand	I-LOC	_	O	_	_	O	NIL	_	_
(	I-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
2e	I-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
)	I-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
Adr	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
telég	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	_
ŒUVRE	B-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
-	I-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
PARIS	I-LOC	_	O	_	_	O	NIL	_	NoSpaceAfter
Chèque	O	_	O	_	_	O	_	_	_
nostal	O	_	O	_	_	O	_	_	_
:	O	_	O	_	_	O	_	_	_
Compte	O	_	O	_	_	O	_	_	_
1046	O	_	O	_	_	O	_	_	NoSpaceAfter
GUSTAVE	B-PER	_	O	_	_	O	Q1556736	_	_
