TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = train_de_1
# hipe2022:date = 1895-07-06
# hipe2022:language = de
# hipe2022:dataset = newseye
# hipe2022:document_type = newspaper
# hipe2022:original_source = NewsEye-GT-NER_EL_StD-v1/NewsEye-German/train.tsv
# newseye:decade = 1895
# newseye:doi = https://doi.org/10.5281/zenodo.4573313
# newseye:version = v1.0
# newseye:publication_title =  aze 
# newseye:original_license = CC-BY 4.0
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
"	O	_	O	_	_	O	_	_	NoSpaceAfter
Ein	O	_	O	_	_	O	_	_	_
dumpfes	O	_	O	_	_	O	_	_	_
Murren	O	_	O	_	_	O	_	_	_
erhob	O	_	O	_	_	O	_	_	_
sich	O	_	O	_	_	O	_	_	_
ringsum	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
manche	O	_	O	_	_	O	_	_	NoSpaceAfter
Faust	O	_	O	_	_	O	_	_	_
ballte	O	_	O	_	_	O	_	_	_
sich	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
aus	O	_	O	_	_	O	_	_	_
der	O	_	O	_	_	O	_	_	_
Menge	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
welche	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	NoSpaceAfter
Sitzungssaal	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
offene	O	_	O	_	_	O	_	_	_
Thür	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Gang	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
das	O	_	O	_	_	O	_	_	NoSpaceAfter
Portal	O	_	O	_	_	O	_	_	_
füllte	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
erschallte	O	_	O	_	_	O	_	_	_
es	O	_	O	_	_	O	_	_	_
laut	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
drohend:	O	_	O	_	_	O	_	_	_
„	O	_	O	_	_	O	_	_	NoSpaceAfter
Tod	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	NoSpaceAfter
Verräthern	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Tod	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Pfaffen	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
Herren	O	_	O	_	_	O	_	_	NoSpaceAfter
!	O	_	O	_	_	O	_	_	NoSpaceAfter
"	O	_	O	_	_	O	_	_	NoSpaceAfter
Michel	B-PER	_	O	_	_	O	NIL	_	_
Gruber	I-PER	_	O	_	_	O	NIL	_	_
aber	O	_	O	_	_	O	_	_	_
warf	O	_	O	_	_	O	_	_	_
das	O	_	O	_	_	O	_	_	_
Haupt	O	_	O	_	_	O	_	_	_
zurück	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
schlug	O	_	O	_	_	O	_	_	NoSpaceAfter
mit	O	_	O	_	_	O	_	_	_
der	O	_	O	_	_	O	_	_	_
gepanzerten	O	_	O	_	_	O	_	_	_
Faust	O	_	O	_	_	O	_	_	_
auf	O	_	O	_	_	O	_	_	_
seinen	O	_	O	_	_	O	_	_	_
Brustharnisch	O	_	O	_	_	O	_	_	NoSpaceAfter
und	O	_	O	_	_	O	_	_	_
rief:	O	_	O	_	_	O	_	_	_
„	O	_	O	_	_	O	_	_	NoSpaceAfter
Da	O	_	O	_	_	O	_	_	_
war	O	_	O	_	_	O	_	_	_
mein	O	_	O	_	_	O	_	_	_
Gutschluß	O	_	O	_	_	O	_	_	_
schnell	O	_	O	_	_	O	_	_	_
gefaßt	O	_	O	_	_	O	_	_	NoSpaceAfter
!	O	_	O	_	_	O	_	_	NoSpaceAfter
Dem	O	_	O	_	_	O	_	_	_
Verbot	O	_	O	_	_	O	_	_	_
und	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Wachen	O	_	O	_	_	O	_	_	_
Dietrichstein	B-PER	_	O	_	_	O	NIL	_	NoSpaceAfter
'	I-PER	_	O	_	_	O	NIL	_	NoSpaceAfter
s	I-PER	_	O	_	_	O	NIL	_	_
zum	O	_	O	_	_	O	_	_	_
Trotz	O	_	O	_	_	O	_	_	NoSpaceAfter
trafen	O	_	O	_	_	O	_	_	_
am	O	_	O	_	_	O	_	_	_
selben	O	_	O	_	_	O	_	_	_
Tage	O	_	O	_	_	O	_	_	_
zahllose	O	_	O	_	_	O	_	_	_
Flüchtlinge	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
unserem	O	_	O	_	_	O	_	_	NoSpaceAfter
Lager	O	_	O	_	_	O	_	_	_
